rating_id,rating_system,rating_version,school,team,as_of_date,rating_mu,rating_sigma,rating_rd,games_played,source_id,notes
rating_rmuc_2025_central_pre_event_v1_020,pre_event_prior_with_upset_risk,v1,重庆理工大学,士继DREAMER,2025-05-20,1476.250,116.673,183.848,1,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_central_pre_event_v1_021,pre_event_prior_with_upset_risk,v1,西北工业大学,WMJ,2025-05-20,1945.525,45.000,65.000,15,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_central_pre_event_v1_022,pre_event_prior_with_upset_risk,v1,上海交通大学,交龙,2025-05-20,2235.800,45.000,61.283,17,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_central_pre_event_v1_023,pre_event_prior_with_upset_risk,v1,四川大学,火锅,2025-05-20,1897.305,45.000,67.132,14,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_central_pre_event_v1_024,pre_event_prior_with_upset_risk,v1,河北科技大学,Actor&Thinker,2025-05-20,1719.800,45.000,69.488,13,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_central_pre_event_v1_025,pre_event_prior_with_upset_risk,v1,西安电子科技大学,IRobot,2025-05-20,1999.780,45.000,67.132,14,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_central_pre_event_v1_026,pre_event_prior_with_upset_risk,v1,西南交通大学,Helios,2025-05-20,1824.130,45.000,67.132,14,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_central_pre_event_v1_027,pre_event_prior_with_upset_risk,v1,长安大学,VGD,2025-05-20,1755.355,45.763,72.111,12,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_central_pre_event_v1_028,pre_event_prior_with_upset_risk,v1,安徽信息工程学院,Artisans,2025-05-20,1717.000,45.000,69.488,13,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_central_pre_event_v1_029,pre_event_prior_with_upset_risk,v1,重庆大学,千里,2025-05-20,1806.550,47.631,75.056,11,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_central_pre_event_v1_030,pre_event_prior_with_upset_risk,v1,中南大学,FYT,2025-05-20,2023.640,45.000,65.000,15,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_central_pre_event_v1_031,pre_event_prior_with_upset_risk,v1,南京航空航天大学金城学院,Born of Fire,2025-05-20,1765.315,45.000,69.488,13,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_central_pre_event_v1_032,pre_event_prior_with_upset_risk,v1,沈阳航空航天大学,TUP,2025-05-20,1792.205,45.000,67.132,14,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
