match_id,year,stage,region,round,match_no,team_a,team_b,winner,score_a,score_b,source_url,confidence,source_id,notes
rmuc_2025_central_014,2025,区域赛,中部赛区,B组第1轮,14,长安大学 VGD,安徽信息工程学院 Artisans,安徽信息工程学院 Artisans,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2899;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=长安大学;red_team=VGD;blue_school=安徽信息工程学院;blue_team=Artisans
rmuc_2025_central_015,2025,区域赛,中部赛区,B组第1轮,15,重庆大学 千里,中南大学 FYT,中南大学 FYT,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2900;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=重庆大学;red_team=千里;blue_school=中南大学;blue_team=FYT
rmuc_2025_central_016,2025,区域赛,中部赛区,B组第1轮,16,南京航空航天大学金城学院 Born of Fire,沈阳航空航天大学 TUP,南京航空航天大学金城学院 Born of Fire,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2901;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=南京航空航天大学金城学院;red_team=Born of Fire;blue_school=沈阳航空航天大学;blue_team=TUP
rmuc_2025_central_017,2025,区域赛,中部赛区,A组第2轮,17,沈阳理工大学 Ambition,武汉工程大学 Nautilus,武汉工程大学 Nautilus,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2902;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=沈阳理工大学;red_team=Ambition;blue_school=武汉工程大学;blue_team=Nautilus
rmuc_2025_central_018,2025,区域赛,中部赛区,A组第2轮,18,西安交通大学 笃行,合肥工业大学（宣城校区） WDR,合肥工业大学（宣城校区） WDR,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2903;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=西安交通大学;red_team=笃行;blue_school=合肥工业大学（宣城校区）;blue_team=WDR
rmuc_2025_central_019,2025,区域赛,中部赛区,A组第2轮,19,国防科技大学 军临,浙江大学 Hello World,浙江大学 Hello World,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2904;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=国防科技大学;red_team=军临;blue_school=浙江大学;blue_team=Hello World
rmuc_2025_central_020,2025,区域赛,中部赛区,A组第2轮,20,合肥工业大学 苍穹,哈尔滨工程大学 创梦之翼,哈尔滨工程大学 创梦之翼,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2905;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=合肥工业大学;red_team=苍穹;blue_school=哈尔滨工程大学;blue_team=创梦之翼
rmuc_2025_central_021,2025,区域赛,中部赛区,A组第2轮,21,湘潭大学 逐曦,南华大学 MA,南华大学 MA,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2906;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=湘潭大学;red_team=逐曦;blue_school=南华大学;blue_team=MA
rmuc_2025_central_022,2025,区域赛,中部赛区,A组第2轮,22,湖南大学 跃鹿,西南石油大学 铁人,湖南大学 跃鹿,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2907;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=湖南大学;red_team=跃鹿;blue_school=西南石油大学;blue_team=铁人
rmuc_2025_central_023,2025,区域赛,中部赛区,A组第2轮,23,东北林业大学 Ares,长沙理工大学 云嵌,东北林业大学 Ares,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2908;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=东北林业大学;red_team=Ares;blue_school=长沙理工大学;blue_team=云嵌
