place,school,team,source_id
冠军,上海交通大学,交龙,rmuc_2025_final_recap
亚军,中国科学技术大学,RoboWalker,rmuc_2025_final_recap
季军,华南理工大学,华南虎,rmuc_2025_final_recap
殿军,东北大学,TDT,rmuc_2025_final_recap

